fips_state_county_code,less_than_hs,hs_diploma_only,some_college_or_associates,bachelors_or_higher,Living Wage,Poverty Wage,Minimum Wage,Employed_2019,Unemployed_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,5_year_unemployment_delta,population_2020,10_year_pop_delta,20_year_pop_delta,rucc_Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,"rucc_Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ","rucc_Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ","rucc_Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ","rucc_Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ","rucc_Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ","rucc_Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ","rucc_Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ","rucc_Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
1001,4291,12551,10596,9929,26.69,10.44,7.25,25561.0,720.0,58233.0,112.4818878,-0.534482759,58805.0,0.077586997,0.344083564,0,1,0,0,0,0,0,0,0
1003,13893,41797,47274,48148,27.3,10.44,7.25,94713.0,2711.0,59871.0,115.6458282,-0.540983607,231767.0,0.271593559,0.650574009,0,0,1,0,0,0,0,0,0
1005,4812,6396,4676,2080,25.28,10.44,7.25,8177.0,325.0,35972.0,69.48291779,-0.638095238,25223.0,-0.081363587,-0.131499208,0,0,0,0,0,1,0,0,0
1007,3386,7256,3848,1678,27.8,10.44,7.25,8371.0,268.0,47918.0,92.55760956,-0.569444444,22293.0,-0.027143792,0.122733683,1,0,0,0,0,0,0,0,0
1009,7763,13299,13519,5210,27.8,10.44,7.25,24516.0,680.0,52902.0,102.1846237,-0.557377049,59134.0,0.0316109,0.159899572,1,0,0,0,0,0,0,0,0
1011,1798,2860,1587,856,25.13,10.44,7.25,4608.0,177.0,31906.0,61.62909698,-0.579545455,10357.0,-0.051035367,-0.107386021,0,0,0,0,0,1,0,0,0
1013,2066,6244,3279,2230,25.13,10.44,7.25,8832.0,340.0,39944.0,77.15516663,-0.564705882,19051.0,-0.090514155,-0.109516687,0,0,0,0,0,1,0,0,0
1015,12315,25940,26233,14620,25.76,10.44,7.25,44440.0,1642.0,47747.0,92.22731018,-0.544303797,116441.0,-0.017972203,0.040748288,0,0,1,0,0,0,0,0,0
1017,4372,8739,7515,3163,25.64,10.44,7.25,15287.0,462.0,42015.0,81.1554718,-0.567164179,34772.0,0.01627941,-0.049945355,0,0,0,0,0,1,0,0,0
1019,3478,7598,5391,2407,25.13,10.44,7.25,11386.0,340.0,45982.0,88.81806183,-0.5,24971.0,-0.039170418,0.04441842,0,0,0,0,0,1,0,0,0
1021,5474,13348,7401,3823,25.86,10.44,7.25,19296.0,545.0,49692.0,95.98423767,-0.564516129,45014.0,0.031413972,0.136602363,1,0,0,0,0,0,0,0,0
1023,1737,3515,2964,1113,25.18,10.44,7.25,4427.0,218.0,39808.0,76.89247131,-0.477777778,12665.0,-0.086153402,-0.206105435,0,0,0,0,1,0,0,0,0
1025,3259,7005,4456,2050,25.13,10.44,7.25,7151.0,437.0,43822.0,84.64584351,-0.520661157,23087.0,-0.106298146,-0.171618227,0,0,0,0,0,0,1,0,0
1027,2205,3577,2678,999,25.13,10.44,7.25,5886.0,182.0,40562.0,78.34888458,-0.577464789,14236.0,0.02182027,-0.000280899,0,0,0,0,1,0,0,0,0
1029,2198,3980,2687,1616,25.13,10.44,7.25,5590.0,183.0,51276.0,99.04386902,-0.515151515,15056.0,0.005610473,0.064705466,0,0,0,1,0,0,0,0,0
1031,4967,9615,12667,8044,25.51,10.44,7.25,21108.0,633.0,57299.0,110.6777954,-0.560606061,53465.0,0.07041323,0.225165563,0,0,0,0,0,0,0,1,0
1033,5783,14740,11366,7070,25.86,10.44,7.25,22811.0,892.0,46683.0,90.17210388,-0.542168675,57227.0,0.051425737,0.040888339,0,0,1,0,0,0,0,0,0
1035,1384,4516,1805,1128,25.13,10.44,7.25,4320.0,179.0,41539.0,80.23603821,-0.611650485,11597.0,-0.123299063,-0.176173901,0,0,0,0,0,0,1,0,0
1037,1652,3327,2221,1059,25.49,10.44,7.25,4370.0,135.0,42024.0,81.17285919,-0.659090909,10387.0,-0.099835341,-0.122867759,0,0,0,1,0,0,0,0,0
1039,4366,9819,8119,4020,25.13,10.44,7.25,15007.0,538.0,44836.0,86.6044693,-0.545454545,37570.0,-0.005163511,-0.001859724,0,0,0,0,0,1,0,0,0
